id,Time,acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,exercise
0,2021-06-21 16:49:03:09865,0.8179546938775509,-0.439009693877551,-0.3891999387755102,-2.52,-1.6800001,2.17,두손
0,2021-06-21 16:49:03:11822,0.8274771428571428,-0.4514621734693877,-0.37918913265306126,-3.3600001000000006,-1.26,2.59,두손
0,2021-06-21 16:49:03:13806,0.839441224489796,-0.443404693877551,-0.3816307857142857,-3.5,-1.26,2.8700001,두손
0,2021-06-21 16:49:03:15891,0.8372437244897958,-0.45390377551020405,-0.39798989795918366,-2.73,-0.56,2.45,두손
0,2021-06-21 16:49:03:17759,0.8362670408163264,-0.4668445918367346,-0.3921298979591837,-1.6800001,0.63,1.61,두손
0,2021-06-21 16:49:03:19797,0.8372437244897958,-0.4600079591836735,-0.39774573469387753,-0.56,0.77,0.63,두손
0,2021-06-21 16:49:03:21836,0.828453775510204,-0.45927543877551014,-0.38749074489795915,0.63,0.28,-0.63,두손
0,2021-06-21 16:49:03:2379,0.8306513265306121,-0.45243881632653055,-0.39676905102040816,1.47,1.47,-1.47,두손
0,2021-06-21 16:49:03:25826,0.8453013265306122,-0.4499971428571428,-0.38578163265306115,2.45,2.1,-1.33,두손
0,2021-06-21 16:49:03:27858,0.8389529591836734,-0.4548804591836735,-0.38895577551020405,2.45,3.92,-1.33,두손
0,2021-06-21 16:49:03:29793,0.838708775510204,-0.45683377551020404,-0.3913974285714285,2.66,5.11,-1.82,두손
0,2021-06-21 16:49:03:31788,0.8377320408163266,-0.4553687755102041,-0.38749074489795915,3.64,5.67,-1.6800001,두손
0,2021-06-21 16:49:03:3382,0.8355345918367346,-0.4499971428571428,-0.3708875204081632,4.27,6.58,-0.98,두손
0,2021-06-21 16:49:03:35834,0.8382204591836734,-0.4416955102040816,-0.370155,2.8700001,5.88,0.7,두손
0,2021-06-21 16:49:03:37789,0.8233263265306121,-0.42997555102040824,-0.3725966326530612,-0.21000001,3.08,1.6800001,두손
0,2021-06-21 16:49:03:39864,0.8338254081632652,-0.4336380612244897,-0.3708875204081632,-3.57,1.47,2.17,두손
0,2021-06-21 16:49:03:41787,0.8262563265306121,-0.43290557142857133,-0.36820166326530607,-5.39,0.84000003,2.73,두손
0,2021-06-21 16:49:03:43789,0.8362670408163264,-0.4521946530612244,-0.38285163265306116,-4.34,0.07,2.38,두손
0,2021-06-21 16:49:03:45861,0.8321162244897958,-0.4517062857142856,-0.3855374183673469,-3.64,0.91,1.47,두손
0,2021-06-21 16:49:03:47779,0.8311395918367346,-0.44609051020408164,-0.38749074489795915,-2.66,1.33,0.56,두손
0,2021-06-21 16:49:03:4979,0.8396854081632652,-0.4570779591836735,-0.38309576530612244,-0.7,1.47,-0.14,두손
0,2021-06-21 16:49:03:51823,0.840173775510204,-0.4651354081632652,-0.3823632857142857,0.63,2.8,-0.63,두손
0,2021-06-21 16:49:03:53776,0.844812857142857,-0.4582987755102041,-0.37796830612244897,0.7,3.85,-0.35,두손
0,2021-06-21 16:49:03:55816,0.8362670408163264,-0.4480438367346938,-0.3699108265306122,3.43,0.84000003,1.82,두손
0,2021-06-21 16:49:03:57944,0.8147805102040816,-0.4841803571428572,-0.3369484897959184,22.960001000000002,-6.23,1.47,두손
0,2021-06-21 16:49:03:59794,0.8653228571428571,-0.5769632346938776,-0.34964510204081634,26.32,-3.57,3.43,두손
0,2021-06-21 16:49:03:61773,0.9073192857142857,-0.5095735408163266,-0.3039861224489796,38.64,-2.94,-6.02,두손
0,2021-06-21 16:49:03:63803,0.9165975510204082,-0.5769632346938776,-0.2815228775510204,51.03,1.96,-2.17,두손
0,2021-06-21 16:49:03:65788,0.9410141836734695,-0.689767724489796,-0.2158423469387755,90.16,4.55,2.8700001,두손
0,2021-06-21 16:49:03:67762,1.012554693877551,-0.839441224489796,-0.14991765306122448,151.55,18.48,2.17,두손
0,2021-06-21 16:49:03:69779,1.0662709183673469,-0.8667877551020408,-0.11817613265306122,215.67,33.46,-1.47,두손
0,2021-06-21 16:49:03:72844,1.0985009183673469,-0.8074555612244898,-0.1279427551020408,266.84,40.18,-3.22,두손
0,2021-06-21 16:49:03:73727,1.1566123469387752,-0.7449491836734694,-0.04443813673469388,317.03,57.61,-0.07,두손
0,2021-06-21 16:49:03:76068,1.1907955102040815,-0.618715581632653,0.0441939693877551,324.03,64.96,9.24,두손
0,2021-06-21 16:49:03:77713,1.1092441836734692,-0.4832036734693877,0.018068252040816322,294.63,52.920002000000004,30.31,두손
